"identifiant";"titre";"genre";"pays";"entrees";"titre_fr";"reboot"
18816;"Shaun le Mouton Le Film : La Ferme Contre-Attaque";"Animation";"Royaume-Uni";731218;FALSE;FALSE
18753;"Shazam!";"Comicbook";"Etats-Unis";1075884;TRUE;FALSE
18843;"Si Beale Street pouvait parler";"Drame";"Etats-Unis";110991;FALSE;FALSE
19075;"Sibel";"Drame";"Allemagne";102333;TRUE;FALSE
19377;"Sibyl";"Comédie dramatique";"France";340433;TRUE;FALSE
18649;"Simetierre (2019)";"Horreur";"Etats-Unis";850945;FALSE;TRUE
19120;"So Long, My Son";"Drame";"Chine";149610;TRUE;FALSE
19706;"Sœurs d'armes";"Aventure - Action";"France";84778;TRUE;FALSE
18292;"Sorry to Bother You";"Comédie";"Etats-Unis";25553;TRUE;FALSE
19634;"Sorry We Missed You";"Drame";"Royaume-Uni";479353;TRUE;FALSE
18243;"Spider-Man: Far from Home";"Comicbook";"Etats-Unis";3226105;TRUE;FALSE
18764;"Stan & Ollie";"Comédie dramatique";"Etats-Unis";34282;TRUE;FALSE
17224;"Star Wars: L'Ascension de Skywalker";"Fantasy";"Etats-Unis";5729061;FALSE;FALSE
17942;"Stubby";"Animation 3D";"Etats-Unis";63503;FALSE;FALSE
19121;"Sunset";"Drame";"Hongrie";41875;FALSE;FALSE
19115;"Synonymes";"Drame";"France";48903;TRUE;FALSE
18821;"Tanguy, le retour";"Comédie";"France";1021278;TRUE;FALSE
19177;"Teen Spirit";"Drame";"Etats-Unis";27236;TRUE;FALSE
19186;"Tel Aviv On Fire";"Comédie";"Luxembourg";112225;TRUE;FALSE
18637;"Terminator: Dark Fate";"Science Fiction";"Etats-Unis";918126;TRUE;FALSE
19173;"Terra Willy - Planète inconnue";"Animation 3D";"France";120473;TRUE;FALSE
19531;"Thalasso";"Comédie dramatique";"France";88904;TRUE;FALSE
19225;"The Dead Don't Die";"Comédie";"Etats-Unis";333032;TRUE;FALSE
18645;"The Hate U Give – La Haine qu’on donne";"Thriller";"Etats-Unis";207574;FALSE;FALSE
19671;"The Lighthouse";"Thriller";"Etats-Unis";71809;TRUE;FALSE
19502;"The Operative";"Thriller";"Allemagne";161947;TRUE;FALSE
19355;"Tolkien";"Drame";"Etats-Unis";121725;TRUE;FALSE
18973;"Tout ce qu'il me reste de la révolution";"Comédie";"France";99487;TRUE;FALSE
19781;"Toute ressemblance...";"Comédie dramatique";"France";108155;TRUE;FALSE
15289;"Toy Story 4";"Animation 3D";"Etats-Unis";4454443;TRUE;FALSE
19596;"Trois jours et une vie";"Drame";"France";99517;TRUE;FALSE
19678;"Tu mérites un amour";"Comédie dramatique";"France";58924;TRUE;FALSE
19318;"UglyDolls";"Animation 3D";"Etats-Unis";57179;TRUE;FALSE
18822;"Un beau voyou";"Comédie";"France";57956;TRUE;FALSE
18893;"Un Grand voyage vers la nuit";"Drame";"Chine";20684;FALSE;FALSE
