"identifiant";"titre";"titre_original";"reprise";"genre";"pays";"entrees";"rang"
17528;"Le Roi Lion (2019)";"The Lion King (2019)";FALSE;"Aventure - Action";"Etats-Unis";9752589;1
19006;"Le Silence des autres";"El silencio de otros ";FALSE;"Documentaire";"Espagne";97847;230
19439;"Le Traître";"Il Traditore ";FALSE;"Drame";"Italie";354421;115
18614;"Le Vent de la liberté";"Ballon ";FALSE;"Thriller";"Allemagne";155306;179
19837;"Le Voyage dans la Lune";"Månelyst i Flåklypa ";FALSE;"Animation";"Norvège";60923;271
19500;"Le Voyage de Marta";"Staff Only";FALSE;"Comédie";"Espagne";6070;367
19950;"Le Voyage du Prince";NA;FALSE;"Animation";"France";89434;239
19467;"Les Baronnes";"The Kitchen";FALSE;"Aventure - Action";"Etats-Unis";79503;251
19354;"Les Crevettes pailletées";NA;FALSE;"Comédie";"France";577413;88
19783;"Les Éblouis";NA;FALSE;"Drame";"France";223011;148
19554;"Les Enfants de la mer";"Kaijû no kodomo ";FALSE;"Animation";"Japon";67132;260
19834;"Les Envoûtés";NA;FALSE;"Drame";"France";25482;338
18925;"Les Estivants";NA;FALSE;"Comédie dramatique";"France";123007;195
18579;"Les Eternels (Ash is purest white)";"Jiang Hu Er Nü ";FALSE;"Drame";"Chine";136766;188
18641;"Les Faussaires de Manhattan";"Can You Ever Forgive Me?";FALSE;"Drame";"Etats-Unis";103253;214
18834;"Les Fauves (2019)";NA;FALSE;"Thriller";"France";15354;357
19625;"Les Hirondelles de Kaboul";NA;FALSE;"Animation";"France";321180;125
18695;"Les Incognitos";"Spies In Disguise";FALSE;"Animation 3D";"Etats-Unis";930299;53
18901;"Les Invisibles (2019)";NA;FALSE;"Comédie";"France";1345290;38
19782;"Les Misérables (2019)";NA;FALSE;"Thriller";"France";1977511;23
19635;"Les Municipaux, trop c'est trop !";NA;FALSE;"Comédie";"France";233171;145
19218;"Les Oiseaux de passage";"Pájaros de verano ";FALSE;"Drame";"Colombie";96188;231
18935;"Les Petits flocons";NA;FALSE;"Comédie";"France";44502;296
19373;"Les Plus belles années d'une vie";NA;FALSE;"Comédie dramatique";"France";194179;165
19007;"Les Ritournelles de la Chouette";NA;FALSE;"Animation";"France";65537;265
19117;"Let’s Dance";NA;FALSE;"Comédie dramatique";"France";391707;109
19176;"Little";NA;FALSE;"Comédie";"Etats-Unis";2441;378
19827;"Little Joe";NA;FALSE;"Science Fiction";"Autriche";22838;345
19779;"Lola vers la mer";NA;FALSE;"Comédie dramatique";"Belgique";24851;341
19418;"Los Silencios";NA;FALSE;"Drame";"Colombie";27682;328
19758;"Loups tendres et loufoques";NA;FALSE;"Animation";"France";219954;150
19401;"Lourdes (2019)";NA;FALSE;"Documentaire";"France";216917;153
19490;"Lune de Miel";"Lemonade";FALSE;"Comédie dramatique";"Roumanie";34973;309
19312;"M";NA;FALSE;"Documentaire";"France";29407;321
19402;"Ma";NA;FALSE;"Thriller";"Etats-Unis";305593;128
19597;"Ma Famille et le Loup";NA;FALSE;"Film familial";"France";39187;305
18863;"Ma vie avec John F. Donovan";"The Death and Life of John F. Donovan";FALSE;"Drame";"Canada";338904;119
20083;"Made In Bangladesh";NA;FALSE;"Drame";"France";27638;329
19497;"Made in China";NA;FALSE;"Comédie";"France";263733;138
19344;"Mais vous êtes fous";NA;FALSE;"Drame";"France";101540;219
19073;"Maléfique : Le Pouvoir du Mal";"Maleficent: Mistress of Evil";FALSE;"Fantasy";"Etats-Unis";2637086;13
19528;"Manou à l'école des goélands";"Manou - flieg' flink! ";FALSE;"Animation";"Allemagne";89747;236
18833;"Marie Stuart, Reine d'Ecosse";"Mary Queen of Scots";FALSE;"Drame";"Etats-Unis";208561;157
19668;"Martin Eden";NA;FALSE;"Drame";"Italie";120268;201
19632;"Matthias & Maxime";NA;FALSE;"Drame";"Canada";180439;169
18818;"Men in Black: International";NA;FALSE;"Fantasy";"Etats-Unis";967040;51
19512;"Midsommar";NA;FALSE;"Horreur";"Etats-Unis";121390;199
19505;"Midway (2019)";NA;FALSE;"Guerre";"Etats-Unis";420596;103
18739;"Minuscule: Les Mandibules du Bout du Monde";NA;FALSE;"Animation 3D";"France";756332;69
19614;"Mission Mangal";NA;FALSE;"Drame";"Inde";895;385
18931;"Mon Bébé";NA;FALSE;"Comédie dramatique";"France";602812;84
19637;"Mon chien Stupide";NA;FALSE;"Comédie";"France";501205;94
19560;"Mon frère";NA;FALSE;"Drame";"France";100271;225
19172;"Mon inconnue";NA;FALSE;"Comédie";"France";559126;91
18974;"Monsieur Link";"Missing Link";FALSE;"Animation 3D";"Etats-Unis";100738;222
19567;"Music of my life";"Blinded By the Light";FALSE;"Comédie dramatique";"Royaume-Uni";60628;273
18660;"My Beautiful Boy";"Beautiful Boy";FALSE;"Drame";"Etats-Unis";71372;256
19017;"Nevada";NA;FALSE;"Drame";"France";174181;174
19399;"Never Grow Old";NA;FALSE;"Western";"Irlande";21877;346
19201;"Ni une, ni deux";NA;FALSE;"Comédie";"France";78591;253
18331;"Nicky Larson et le parfum de Cupidon";NA;FALSE;"Aventure - Action";"France";1684404;30
19948;"Notre dame";NA;FALSE;"Comédie dramatique";"France";221483;149
19133;"Noureev";"The White Crow";FALSE;"Drame";"Royaume-Uni";172012;175
18875;"Nous finirons ensemble";NA;FALSE;"Comédie dramatique";"France";2792885;12
18734;"Nuits magiques";"Notti magiche";FALSE;"Comédie dramatique";"Italie";4497;371
18224;"Once Upon a Time in Hollywood";NA;FALSE;"Thriller";"Etats-Unis";2633185;14
19744;"Papicha";NA;FALSE;"Drame";"France";259141;140
19001;"Paradise Beach";NA;FALSE;"Thriller";"France";36366;307
19435;"Parasite (2019)";"Gisaengchung ";FALSE;"Comédie dramatique";"Corée du Sud";1724417;29
19462;"Passion (2019)";"Passhon";FALSE;"Drame";"Japon";28161;326
19838;"Pat et Mat en hiver";NA;FALSE;"Animation";"Rép. Tchèque";99283;228
19514;"Perdrix";NA;FALSE;"Comédie";"France";143672;184
19501;"Persona non grata";NA;FALSE;"Thriller";"France";49509;291
18953;"Petta";NA;FALSE;"Aventure - Action";"Inde";15481;356
18987;"Piranhas (2019)";"La paranza dei bambini ";FALSE;"Drame";"Italie";39007;306
19949;"Pirouette et le sapin de Noël";NA;FALSE;"Animation";"France";107473;213
19805;"Place des Victoires";NA;FALSE;"Comédie dramatique";"France";62610;269
19372;"Playmobil, Le Film";"PLAYMOBIL: The Movie";FALSE;"Animation 3D";"Etats-Unis";362695;114
18749;"Pokémon Détective Pikachu";"Pokemon Detective Pikachu";FALSE;"Aventure - Action";"Etats-Unis";1682046;31
19436;"Portrait de la jeune fille en feu";NA;FALSE;"Drame";"France";297780;131
18807;"Pour les soldats tombés";"They Shall Not Grow Old";FALSE;"Documentaire";"Nouvelle-Zélande";30653;317
19760;"Pour Sama";"For Sama";FALSE;"Documentaire";"Royaume-Uni";103252;215
19525;"Premier de la classe";NA;FALSE;"Comédie";"France";397855;107
18789;"Premières Vacances";NA;FALSE;"Comédie";"France";304560;129
19688;"Promare";NA;FALSE;"Animation";"Japon";16084;355
19622;"Proxima";NA;FALSE;"Drame";"France";99188;229
18084;"Qu'est-ce qu'on a encore fait au Bon Dieu ?";NA;FALSE;"Comédie";"France";6711618;4
19466;"Quand on crie au loup";NA;FALSE;"Comédie";"France";29838;318
19631;"Queens";"Hustlers";FALSE;"Drame";"Etats-Unis";278427;133
18911;"Qui a tué Lady Winsley ?";"Who Killed Lady Winsley?";FALSE;"Comédie";"Turquie";50283;288
19009;"Qui m'aime me suive!";NA;FALSE;"Comédie dramatique";"France";199662;162
17731;"Ralph 2.0 ";"Ralph Breaks the Internet: Wreck-It Ralph 2";FALSE;"Animation 3D";"Etats-Unis";2339992;18
18638;"Rambo: Last Blood";NA;FALSE;"Aventure - Action";"Etats-Unis";598353;85
19014;"Raoul Taburin";NA;FALSE;"Comédie";"France";177538;172
18932;"Rebelles";NA;FALSE;"Comédie";"France";925503;54
19806;"Recep Ivedik 6";NA;FALSE;"Comédie";"Turquie";501;388
18872;"Rendez-vous Chez Les Malawas";NA;FALSE;"Comédie";"France";611971;83
18830;"Retour à Zombieland";"Zombieland 2: Double Tap";FALSE;"Aventure - Action";"Etats-Unis";582068;87
18978;"Retour de flamme";"El Amor menos pensado ";FALSE;"Romance";"Argentine";47226;294
18750;"Rocketman";NA;FALSE;"Musical";"Etats-Unis";744358;70
19562;"Rojo";NA;FALSE;"Thriller";"Argentine";40096;303
19529;"Roubaix, une lumière";NA;FALSE;"Thriller";"France";380836;110
19463;"Roxane";NA;FALSE;"Comédie";"France";314437;127
19002;"Royal Corgi";"The Queen's Corgi";FALSE;"Animation 3D";"Belgique";859633;60
18699;"Sang froid";"Cold Pursuit";FALSE;"Thriller";"Royaume-Uni";329378;122
18837;"Santiago, Italia";NA;FALSE;"Documentaire";"Italie";67095;261
19540;"Scary Stories";"Scary Stories to Tell in the Dark";FALSE;"Horreur";"Etats-Unis";211107;156
19019;"Séduis-moi si tu peux !";"Long Shot";FALSE;"Comédie";"Etats-Unis";195447;164
19825;"Seules Les Bêtes";NA;FALSE;"Thriller";"France";108950;211
18816;"Shaun le Mouton Le Film : La Ferme Contre-Attaque";"A Shaun the Sheep Movie: Farmageddon";FALSE;"Animation";"Royaume-Uni";731218;72
18753;"Shazam!";NA;FALSE;"Comicbook";"Etats-Unis";1075884;46
18843;"Si Beale Street pouvait parler";"If Beale Street Could Talk";FALSE;"Drame";"Etats-Unis";110991;210
19075;"Sibel";NA;FALSE;"Drame";"Allemagne";102333;218
19377;"Sibyl";NA;FALSE;"Comédie dramatique";"France";340433;118
18649;"Simetierre (2019)";"Pet Sematary (2019)";FALSE;"Horreur";"Etats-Unis";850945;62
19120;"So Long, My Son";NA;FALSE;"Drame";"Chine";149610;183
19706;"Sœurs d'armes";NA;FALSE;"Aventure - Action";"France";84778;243
18292;"Sorry to Bother You";NA;FALSE;"Comédie";"Etats-Unis";25553;337
19634;"Sorry We Missed You";NA;FALSE;"Drame";"Royaume-Uni";479353;98
18243;"Spider-Man: Far from Home";NA;FALSE;"Comicbook";"Etats-Unis";3226105;10
18764;"Stan & Ollie";NA;FALSE;"Comédie dramatique";"Etats-Unis";34282;311
17224;"Star Wars: L'Ascension de Skywalker";"Star Wars: The Rise of Skywalker";FALSE;"Fantasy";"Etats-Unis";5729061;5
17942;"Stubby";"Sgt. Stubby: An American Hero";FALSE;"Animation 3D";"Etats-Unis";63503;268
19416;"Student of the Year 2";NA;FALSE;"Comédie";"Inde";497;389
19121;"Sunset";"Napszállta ";FALSE;"Drame";"Hongrie";41875;298
19561;"Super 30";NA;FALSE;"Aventure - Action";"Inde";682;387
19115;"Synonymes";NA;FALSE;"Drame";"France";48903;293
18821;"Tanguy, le retour";NA;FALSE;"Comédie";"France";1021278;50
19177;"Teen Spirit";NA;FALSE;"Drame";"Etats-Unis";27236;330
19186;"Tel Aviv On Fire";NA;FALSE;"Comédie";"Luxembourg";112225;207
19784;"Terminal Sud";NA;FALSE;"Drame";"France";3424;376
18637;"Terminator: Dark Fate";NA;FALSE;"Science Fiction";"Etats-Unis";918126;56
19173;"Terra Willy - Planète inconnue";NA;FALSE;"Animation 3D";"France";120473;200
19531;"Thalasso";NA;FALSE;"Comédie dramatique";"France";88904;241
19951;"Thanatos, l’ultime passage";NA;FALSE;"Documentaire";"France";40194;302
19225;"The Dead Don't Die";NA;FALSE;"Comédie";"Etats-Unis";333032;121
18692;"The Front Runner";NA;FALSE;"Drame";"Etats-Unis";13229;359
18645;"The Hate U Give – La Haine qu’on donne";"The Hate U Give";FALSE;"Thriller";"Etats-Unis";207574;158
